run,clusters,singleton_cluster_percent,singleton_only_percent_assigned_urls,largest_urls,largest_percent_all_urls,overlap_urls,unassigned_urls,canonical_size_median,canonical_size_p90,canonical_size_p99
event-support-1-components,177691,75.46414843745603,20.44483494172524,146033,21.32005559481193,73392,62388,1.0,3.0,29.0
event-support-1-louvain,178058,75.3086073077312,20.44483494172524,4332,0.6324493836100421,83597,62388,1.0,3.0,34.0
event-support-1-leiden,178056,75.30945320573302,20.44483494172524,3932,0.5740514719193641,83870,62388,1.0,3.0,34.0
event-support-2-components,579157,87.68347788250854,20.44483494172524,7410,1.081821314069809,230086,62388,1.0,2.0,12.0
event-support-2-louvain,579202,87.67666548112749,20.44483494172524,3177,0.46382541360320956,232013,62388,1.0,2.0,12.0
event-support-2-leiden,579200,87.6769682320442,20.44483494172524,3177,0.46382541360320956,232085,62388,1.0,2.0,12.0
article-event_score-0.3-leiden,171406,78.43424384210587,23.67982292697344,6076,0.8870642785813979,0,62388,1.0,3.0,14.0
article-url_score-0.3-leiden,48494,91.17622798696746,10.645905346885803,26987,3.9399611069908143,0,62388,1.0,1.0,5.0
article-combined-0.15-leiden,20201,88.66887777832781,3.602498040374706,33635,4.910534399289881,0,62388,1.0,2.0,73.0
article-combined-0.3-leiden,152807,79.4983214119772,21.273499441024917,6854,1.0006482168197666,0,62388,1.0,2.0,12.0
article-combined-0.45-leiden,228990,81.07690292152496,32.32032484804873,3512,0.5127336646441524,0,62388,1.0,2.0,14.0
article-combined-0.3-louvain,152861,79.47023766689999,21.273499441024917,8318,1.2143845736076477,0,62388,1.0,2.0,12.0
article-combined-0.3-components,152338,79.74307132823064,21.273499441024917,337292,49.24287107493036,0,62388,1.0,2.0,9.0
