run,metric,threshold,method,graph_edges,clusters,assigned_urls,unassigned_urls,multiply_assigned_urls,largest_cluster_urls,largest_fraction_all_urls,largest_fraction_assigned_urls,largest_fraction_canonical_articles,best_clusters_all_distinct,clusters_matching_all_four_keyword_sets,single_event_clusters,single_canonical_article_clusters,singleton_only_assigned_urls,runtime_seconds,minimum_support
event-support-1-components,jaccard,0.1,components,1483984,177691,622568,62388,73392,146033,0.2132005559481193,0.23456554143483122,0.18986302785170503,false,1,70576,134093,127283,,1
event-support-1-louvain,jaccard,0.1,louvain,1483984,178058,622568,62388,83597,4332,0.006324493836100421,0.0069582760437414065,0.00523283734581306,true,1,70576,134093,127283,,1
event-support-1-leiden,jaccard,0.1,leiden,1483984,178056,622568,62388,83870,3932,0.005740514719193642,0.006315775947366392,0.0049994164477548545,true,1,70576,134093,127283,,1
event-support-2-components,jaccard,0.1,components,273100,579157,622568,62388,230086,7410,0.010818213140698089,0.011902314285347142,0.008663359232848826,true,0,553247,507825,127283,,2
event-support-2-louvain,jaccard,0.1,louvain,273100,579202,622568,62388,232013,3177,0.004638254136032096,0.005103057015458552,0.003956675550691557,true,0,553247,507825,127283,,2
event-support-2-leiden,jaccard,0.1,leiden,273100,579200,622568,62388,232085,3177,0.004638254136032096,0.005103057015458552,0.003956675550691557,true,0,553247,507825,127283,7.694547051000001,2
article-event_score-0.3-leiden,event_score,0.3,leiden,4216714,171406,622568,62388,0,6076,0.00887064278581398,0.00975957646393647,0.008496903346528629,true,8,56412,134441,147423,6.063411893000023,
article-url_score-0.3-leiden,url_score,0.3,leiden,8815667,48494,622568,62388,0,26987,0.03939961106990814,0.04334787525218129,0.041927750492192835,true,46,16558,44215,66278,10.626166468999998,
article-combined-0.15-leiden,combined,0.15,leiden,11467810,20201,622568,62388,0,33635,0.049105343992898814,0.05402622685393403,0.051907450527205974,true,42,7054,17912,22428,13.396573160000003,
article-combined-0.3-leiden,combined,0.3,leiden,4578781,152807,622568,62388,0,6854,0.010006482168197665,0.011009239151385873,0.008644226372352251,true,17,41571,121479,132442,6.096373976999985,
article-combined-0.45-leiden,combined,0.45,leiden,3251456,228990,622568,62388,0,3512,0.005127336646441523,0.005641150846172627,0.006233485949783894,true,3,61379,185658,201216,4.691370253999992,
article-combined-0.3-louvain,combined,0.3,louvain,4578781,152861,622568,62388,0,8318,0.012143845736076478,0.013360789504118425,0.010322178237901814,true,16,41572,121479,132442,11.423144147000016,
article-combined-0.3-components,combined,0.3,components,4578781,152338,622568,62388,0,337292,0.4924287107493036,0.5417753562663035,0.45762932378731147,false,1,41571,121479,132442,6.682759782000005,
