run,story,unit,all_matching_units,assigned_matching_units,clusters_with_matches,best_cluster,best_matches,best_cluster_size,best_match_fraction,best_keyword_purity,top5_union_match_fraction
event-support-1-components,crash_grounding,url,29411,26034,4416,4518,14298,146033,0.48614463976063377,0.097909376647744,0.5180374689741933
event-support-1-components,crash_grounding,canonical_any_matching_alias,19238,16949,4416,4518,8652,99234,0.4497348996777212,0.08718785899993954,0.48726478843954674
event-support-1-components,christchurch,url,14239,12621,2004,4518,8595,146033,0.6036238499894655,0.05885655981867112,0.6884612683474963
event-support-1-components,christchurch,canonical_any_matching_alias,9171,8039,2004,4518,5028,99234,0.5482499182204776,0.050668117782211745,0.6253407480100316
event-support-1-components,idai,url,2283,1901,366,114488,341,341,0.14936487078405605,1.0,0.3731931668856767
event-support-1-components,idai,canonical_any_matching_alias,1467,1317,366,114488,341,341,0.23244717109747784,1.0,0.36946148602590323
event-support-1-components,brexit,url,16961,14945,2537,4518,9257,146033,0.545781498732386,0.0633897817616566,0.581038853841165
event-support-1-components,brexit,canonical_any_matching_alias,10183,9062,2537,4518,5364,99234,0.5267602867524305,0.05405405405405406,0.5547481095944221
event-support-1-components,idai_specific,url,339,325,112,159492,75,89,0.22123893805309736,0.8426966292134831,0.4247787610619469
event-support-1-components,idai_specific,canonical_any_matching_alias,281,267,112,159492,47,58,0.16725978647686832,0.8103448275862069,0.36298932384341637
event-support-1-louvain,crash_grounding,url,29411,26034,4651,4967,2265,2901,0.07701200231206011,0.7807652533609101,0.24293631634422494
event-support-1-louvain,crash_grounding,canonical_any_matching_alias,19238,16949,4651,4967,1417,1868,0.0736563052292338,0.7585653104925053,0.2200332674914232
event-support-1-louvain,christchurch,url,14239,12621,2094,122643,1612,3923,0.11321019734531919,0.41091001784348713,0.33225647868530095
event-support-1-louvain,christchurch,canonical_any_matching_alias,9171,8039,2094,122643,919,2605,0.10020717479009923,0.3527831094049904,0.2957147530258423
event-support-1-louvain,idai,url,2283,1901,380,114753,341,341,0.14936487078405605,1.0,0.3066141042487954
event-support-1-louvain,idai,canonical_any_matching_alias,1467,1317,380,114753,341,341,0.23244717109747784,1.0,0.3428766189502386
event-support-1-louvain,brexit,url,16961,14945,2680,20566,1856,3484,0.1094275101703909,0.5327210103329506,0.33877719474087614
event-support-1-louvain,brexit,canonical_any_matching_alias,10183,9062,2680,20566,1110,2218,0.10900520475301974,0.5004508566275925,0.3293724835510164
event-support-1-louvain,idai_specific,url,339,325,112,159841,75,89,0.22123893805309736,0.8426966292134831,0.4247787610619469
event-support-1-louvain,idai_specific,canonical_any_matching_alias,281,267,112,159841,47,58,0.16725978647686832,0.8103448275862069,0.36298932384341637
event-support-1-leiden,crash_grounding,url,29411,26034,4658,4964,2265,2901,0.07701200231206011,0.7807652533609101,0.24055625446261603
event-support-1-leiden,crash_grounding,canonical_any_matching_alias,19238,16949,4658,4964,1417,1868,0.0736563052292338,0.7585653104925053,0.221072876598399
event-support-1-leiden,christchurch,url,14239,12621,2091,122643,1614,3932,0.11335065664723647,0.4104781281790437,0.3319755600814664
event-support-1-leiden,christchurch,canonical_any_matching_alias,9171,8039,2091,122643,920,2613,0.10031621415330934,0.3520857252200536,0.3008396030967179
event-support-1-leiden,idai,url,2283,1901,380,114752,341,341,0.14936487078405605,1.0,0.3066141042487954
event-support-1-leiden,idai,canonical_any_matching_alias,1467,1317,380,114752,341,341,0.23244717109747784,1.0,0.3428766189502386
event-support-1-leiden,brexit,url,16961,14945,2673,45324,1643,3310,0.09686928836743117,0.4963746223564955,0.3049348505394729
event-support-1-leiden,brexit,canonical_any_matching_alias,10183,9062,2673,45324,916,2116,0.08995384464303251,0.43289224952741023,0.297947559658254
event-support-1-leiden,idai_specific,url,339,325,112,159840,75,89,0.22123893805309736,0.8426966292134831,0.4247787610619469
event-support-1-leiden,idai_specific,canonical_any_matching_alias,281,267,112,159840,47,58,0.16725978647686832,0.8103448275862069,0.36298932384341637
event-support-2-components,crash_grounding,url,29411,26034,15534,10339,2174,2593,0.07391792186596852,0.8384111068260702,0.2585087212267519
event-support-2-components,crash_grounding,canonical_any_matching_alias,19238,16949,15534,10339,1340,1652,0.06965381016737707,0.8111380145278451,0.22798627715978792
event-support-2-components,christchurch,url,14239,12621,9598,361590,3205,7111,0.22508603132242433,0.45071016734636477,0.4747524404803708
event-support-2-components,christchurch,canonical_any_matching_alias,9171,8039,9598,361590,1762,4528,0.19212735797622943,0.38913427561837455,0.4228546505288409
event-support-2-components,idai,url,2283,1901,831,363807,341,341,0.14936487078405605,1.0,0.2943495400788436
event-support-2-components,idai,canonical_any_matching_alias,1467,1317,831,363807,341,341,0.23244717109747784,1.0,0.33537832310838445
event-support-2-components,brexit,url,16961,14945,11411,135527,2013,6474,0.11868403985614055,0.3109360518999073,0.35675962502210956
event-support-2-components,brexit,canonical_any_matching_alias,10183,9062,11411,135527,1152,3816,0.1131297260139448,0.3018867924528302,0.3368359029755475
event-support-2-components,idai_specific,url,339,325,246,515999,75,89,0.22123893805309736,0.8426966292134831,0.41297935103244837
event-support-2-components,idai_specific,canonical_any_matching_alias,281,267,246,515999,47,58,0.16725978647686832,0.8103448275862069,0.3487544483985765
event-support-2-louvain,crash_grounding,url,29411,26034,15566,10339,2109,2500,0.07170786440447452,0.8436,0.21529359763353847
event-support-2-louvain,crash_grounding,canonical_any_matching_alias,19238,16949,15566,10339,1284,1575,0.0667429046678449,0.8152380952380952,0.18822122881796444
event-support-2-louvain,christchurch,url,14239,12621,9612,361621,1528,2191,0.10731090666479387,0.6973984481971702,0.301285202612543
event-support-2-louvain,christchurch,canonical_any_matching_alias,9171,8039,9612,361621,878,1458,0.09573656089848435,0.6021947873799726,0.28939046995965545
event-support-2-louvain,idai,url,2283,1901,831,363838,341,341,0.14936487078405605,1.0,0.2943495400788436
event-support-2-louvain,idai,canonical_any_matching_alias,1467,1317,831,363838,341,341,0.23244717109747784,1.0,0.33537832310838445
event-support-2-louvain,brexit,url,16961,14945,11430,135536,1411,2183,0.08319084959613231,0.6463582226294091,0.21744000943340605
event-support-2-louvain,brexit,canonical_any_matching_alias,10183,9062,11430,135536,828,1431,0.08131199057252284,0.5786163522012578,0.20946675832269468
