run,story,regex_on_decoded_url_path,keyword_urls,assigned_keyword_urls,unassigned_keyword_urls,best_cluster,best_matches,best_cluster_articles,best_recall,best_keyword_purity,elsewhere_not_in_best,clusters_with_matches
event-support-1-components,crash_grounding,ethiopian|boeing|737,29411,26034,3377,4518,14298,146033,0.48614463976063377,0.097909376647744,11736,4416
event-support-1-components,christchurch,christchurch|mosque,14239,12621,1618,4518,8595,146033,0.6036238499894655,0.05885655981867112,4026,2004
event-support-1-components,idai,idai|cyclone|mozambique,2283,1901,382,114488,341,341,0.14936487078405605,1.0,1560,366
event-support-1-components,brexit,brexit,16961,14945,2016,4518,9257,146033,0.545781498732386,0.0633897817616566,5688,2537
event-support-1-louvain,crash_grounding,ethiopian|boeing|737,29411,26034,3377,4967,2265,2901,0.07701200231206011,0.7807652533609101,23769,4651
event-support-1-louvain,christchurch,christchurch|mosque,14239,12621,1618,122643,1612,3923,0.11321019734531919,0.41091001784348713,11009,2094
event-support-1-louvain,idai,idai|cyclone|mozambique,2283,1901,382,114753,341,341,0.14936487078405605,1.0,1560,380
event-support-1-louvain,brexit,brexit,16961,14945,2016,20566,1856,3484,0.1094275101703909,0.5327210103329506,13089,2680
event-support-1-leiden,crash_grounding,ethiopian|boeing|737,29411,26034,3377,4964,2265,2901,0.07701200231206011,0.7807652533609101,23769,4658
event-support-1-leiden,christchurch,christchurch|mosque,14239,12621,1618,122643,1614,3932,0.11335065664723647,0.4104781281790437,11007,2091
event-support-1-leiden,idai,idai|cyclone|mozambique,2283,1901,382,114752,341,341,0.14936487078405605,1.0,1560,380
event-support-1-leiden,brexit,brexit,16961,14945,2016,45324,1643,3310,0.09686928836743117,0.4963746223564955,13302,2673
event-support-2-components,crash_grounding,ethiopian|boeing|737,29411,26034,3377,10339,2174,2593,0.07391792186596852,0.8384111068260702,23860,15534
event-support-2-components,christchurch,christchurch|mosque,14239,12621,1618,361590,3205,7111,0.22508603132242433,0.45071016734636477,9416,9598
event-support-2-components,idai,idai|cyclone|mozambique,2283,1901,382,363807,341,341,0.14936487078405605,1.0,1560,831
event-support-2-components,brexit,brexit,16961,14945,2016,135527,2013,6474,0.11868403985614055,0.3109360518999073,12932,11411
event-support-2-louvain,crash_grounding,ethiopian|boeing|737,29411,26034,3377,10339,2109,2500,0.07170786440447452,0.8436,23925,15566
event-support-2-louvain,christchurch,christchurch|mosque,14239,12621,1618,361621,1528,2191,0.10731090666479387,0.6973984481971702,11093,9612
event-support-2-louvain,idai,idai|cyclone|mozambique,2283,1901,382,363838,341,341,0.14936487078405605,1.0,1560,831
event-support-2-louvain,brexit,brexit,16961,14945,2016,135536,1411,2183,0.08319084959613231,0.6463582226294091,13534,11430
event-support-2-leiden,crash_grounding,ethiopian|boeing|737,29411,26034,3377,10339,2174,2593,0.07391792186596852,0.8384111068260702,23860,15564
event-support-2-leiden,christchurch,christchurch|mosque,14239,12621,1618,361620,1528,2191,0.10731090666479387,0.6973984481971702,11093,9611
event-support-2-leiden,idai,idai|cyclone|mozambique,2283,1901,382,363837,341,341,0.14936487078405605,1.0,1560,832
event-support-2-leiden,brexit,brexit,16961,14945,2016,135535,1411,2183,0.08319084959613231,0.6463582226294091,13534,11429
article-event_score-0.3-leiden,crash_grounding,ethiopian|boeing|737,29411,26034,3377,58,2237,2671,0.07605997755941654,0.8375140396855111,23797,3897
article-event_score-0.3-leiden,christchurch,christchurch|mosque,14239,12621,1618,65,3671,6076,0.2578130486691481,0.6041803818301514,8950,1714
article-event_score-0.3-leiden,idai,idai|cyclone|mozambique,2283,1901,382,42794,341,341,0.14936487078405605,1.0,1560,366
article-event_score-0.3-leiden,brexit,brexit,16961,14945,2016,144,1224,2924,0.07216555627616296,0.4186046511627907,13721,2256
article-url_score-0.3-leiden,crash_grounding,ethiopian|boeing|737,29411,26034,3377,19,8177,15503,0.27802522865594503,0.5274463007159904,17857,800
article-url_score-0.3-leiden,christchurch,christchurch|mosque,14239,12621,1618,10,3278,14046,0.23021279584240467,0.2333760501210309,9343,392
article-url_score-0.3-leiden,idai,idai|cyclone|mozambique,2283,1901,382,55,932,4272,0.4082347787998248,0.21816479400749064,969,63
article-url_score-0.3-leiden,brexit,brexit,16961,14945,2016,38,8406,19399,0.49560757030835445,0.43332130522191864,6539,324
article-combined-0.15-leiden,crash_grounding,ethiopian|boeing|737,29411,26034,3377,20,11268,25465,0.38312196117099045,0.4424896917337522,14766,297
